DP Conway
RD Gaikwad
MM Ali
BA Stokes
AT Rayudu
S Dube
RA Jadeja
MS Dhoni
MJ Santner
WP Saha
Shubman Gill
B Sai Sudharsan
HH Pandya
V Shankar
R Tewatia
Rashid Khan
P Simran Singh
S Dhawan
PBB Rajapaksa
JM Sharma
Sikandar Raza
SM Curran
M Shahrukh Khan
Mandeep Singh
Rahmanullah Gurbaz
AS Roy
VR Iyer
N Rana
RK Singh
AD Russell
SN Thakur
SP Narine
KL Rahul
KR Mayers
DJ Hooda
KH Pandya
MP Stoinis
N Pooran
A Badoni
K Gowtham
PP Shaw
DA Warner
MR Marsh
SN Khan
RR Rossouw
R Powell
Aman Hakim Khan
AR Patel
Kuldeep Yadav
C Sakariya
Mukesh Kumar
YBK Jaiswal
JC Buttler
SV Samson
D Padikkal
R Parag
SO Hetmyer
R Ashwin
Abhishek Sharma
RA Tripathi
HC Brook
MA Agarwal
Washington Sundar
GD Phillips
Abdul Samad
AU Rashid
B Kumar
Umran Malik
RG Sharma
Ishan Kishan
C Green
SA Yadav
Tilak Varma
N Wadhera
TH David
HR Shokeen
Arshad Khan
V Kohli
F du Plessis
KD Karthik
GJ Maxwell
MA Wood
Abishek Porel
A Nortje
DA Miller
Dhruv Jurel
JO Holder
UT Yadav
MG Bracewell
HV Patel
Shahbaz Ahmed
Anuj Rawat
DJ Willey
KV Sharma
Akash Deep
Anmolpreet Singh
AK Markram
R Shepherd
MK Pandey
Lalit Yadav
T Stubbs
PP Chawla
AM Rahane
A Manohar
N Jagadeesan
MW Short
Harpreet Brar
RD Chahar
NT Ellis
Mohit Rathee
JD Unadkat
Ravi Bishnoi
Avesh Khan
YV Dhull
Mustafizur Rahman
A Zampa
R Dhawan
H Klaasen
MK Lomror
Yudhvir Singh
Atharva Taide
Harpreet Singh
K Rabada
TA Boult
SS Prabhudessai
WD Parnell
PWH de Silva
M Jansen
M Markande
LS Livingstone
JJ Roy
Liton Das
CV Varun
PD Salt
JC Archer
Vijaykumar Vyshak
Mohammed Siraj
Abdul Basith
D Wiese
RV Patel
I Sharma
Arjun Tendulkar
JP Behrendorff
RP Meredith
Arshdeep Singh
AJ Hosein
PK Garg
JR Hazlewood
A Mishra
Naveen-ul-Haq
M Vohra
KS Sharma
Harshit Rana
VG Arora
Sandeep Sharma
Q de Kock
Swapnil Singh
KM Jadhav
DL Chahar
TU Deshpande
Vishnu Vinod
Noor Ahmad
AS Joseph
PN Mankad
P Dubey
JE Root
KM Asif
MD Shanaka
Mohammed Shami
MM Sharma
Sanvir Singh
Fazalhaq Farooqi
Vivrant Sharma
DG Nalkande
CJ Jordan
Mohsin Khan
K Kartikeya
RM Patidar
R Ravindra
DJ Mitchell
SD Hope
RR Pant
RK Bhui
Sumit Kumar
JM Bairstow
Shashank Singh
SS Iyer
Ramandeep Singh
MA Starc
PJ Cummins
Azmatullah Omarzai
Naman Dhir
D Brevis
G Coetzee
JJ Bumrah
SZ Mulani
Sameer Rizvi
SH Johnson
TM Head
Akash Madhwal
SB Dubey
Mayank Dagar
RJW Topley
A Raghuvanshi
Rasikh Salam
KS Williamson
Ashutosh Sharma
Nithish Kumar Reddy
Saurav Chauhan
Kumar Kushagra
JA Richardson
BR Sharath
MS Wade
WG Jacks
J Fraser-McGurk
Tanush Kotian
KA Maharaj
Arshad Khan (2)
Mohammad Nabi
LH Ferguson
R Sai Kishore
L Wood
LB Williams
AA Kulkarni
AJ Turner
MJ Suthar
RJ Gleeson
Gulbadin Naib
D Ferreira
A Kamboj
T Kohler-Cadmore
Shivam Singh
V Viyaskanth
