match_id,inning,batting_team,bowling_team,over,ball,batsman,bowler,non_striker,runs_of_bat,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
1359475,1,Chennai Super Kings,Gujarat Titans,0,1,DP Conway,Mohammed Shami,RD Gaikwad,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,0,2,DP Conway,Mohammed Shami,RD Gaikwad,0,1,1,legbyes,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,0,3,RD Gaikwad,Mohammed Shami,DP Conway,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,0,4,RD Gaikwad,Mohammed Shami,DP Conway,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,0,5,DP Conway,Mohammed Shami,RD Gaikwad,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,0,6,DP Conway,Mohammed Shami,RD Gaikwad,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,1,1,RD Gaikwad,HH Pandya,DP Conway,4,0,4,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,1,2,RD Gaikwad,HH Pandya,DP Conway,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,1,3,RD Gaikwad,HH Pandya,DP Conway,4,0,4,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,1,4,RD Gaikwad,HH Pandya,DP Conway,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,1,5,DP Conway,HH Pandya,RD Gaikwad,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,1,6,RD Gaikwad,HH Pandya,DP Conway,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,2,1,RD Gaikwad,Mohammed Shami,DP Conway,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,2,2,DP Conway,Mohammed Shami,RD Gaikwad,0,0,0,,1,DP Conway,bowled,
1359475,1,Chennai Super Kings,Gujarat Titans,2,3,MM Ali,Mohammed Shami,RD Gaikwad,0,0,0,,0,,,
